NAME,CITY,STATE,YEAR,TOT_UNITS,MED_VALUE,MED_RENT,OCCUP_OCCUP,VACANT,OCCUP_TENURE,OCCUP_OWNR,OCCUP_RENTR,BUILT_2020,BUILT_2010,BUILT_2000,BUILT_1990,BUILT_1980,BUILT_1970,BUILT_1960,BUILT_1950,BUILT_1940,BUILT_1939
"Redding city, California",Redding city, California,2010,37379,236500.0,869.0,33646,3733,18396,15250,2.63,1631.0,3721.0,7189.0,7721.0,6937.0,3576.0,3847.0,1740.0,1017.0,37379.0
"Redlands city, California",Redlands city, California,2010,25797,296800.0,1061.0,23736,2061,15209,8527,2.8,790.0,1139.0,2136.0,6227.0,4775.0,3506.0,4006.0,1062.0,2156.0,25797.0
"Redondo Beach city, California",Redondo Beach city, California,2010,31724,736100.0,1547.0,29277,2447,14231,15046,2.4,1684.0,1591.0,1740.0,4287.0,7219.0,5920.0,4928.0,2529.0,1826.0,31724.0
"Redwood City city, California",Redwood City city, California,2010,28156,763000.0,1303.0,26963,1193,14604,12359,2.69,176.0,808.0,2942.0,3559.0,4735.0,4302.0,5992.0,2454.0,3188.0,28156.0
"Rialto city, California",Rialto city, California,2010,25903,172600.0,1064.0,23707,2196,14906,8801,4.24,1361.0,622.0,4957.0,6126.0,5466.0,2723.0,3456.0,793.0,399.0,25903.0
"Richmond city, California",Richmond city, California,2010,40158,270700.0,1118.0,36033,4125,17530,18503,2.87,1665.0,2385.0,3113.0,3894.0,4098.0,4311.0,7573.0,8789.0,4330.0,40158.0
"Riverside city, California",Riverside city, California,2010,97695,228100.0,1081.0,87752,9943,50025,37727,3.57,4978.0,9409.0,10422.0,15496.0,17169.0,9823.0,18685.0,5369.0,6344.0,97695.0
"Roseville city, California",Roseville city, California,2010,48332,312000.0,1131.0,44079,4253,29155,14924,2.78,5762.0,10484.0,12543.0,9506.0,3699.0,1601.0,1524.0,989.0,2224.0,48332.0
"Sacramento city, California",Sacramento city, California,2010,192372,236100.0,961.0,176168,16204,86950,89218,2.6,13741.0,16906.0,14624.0,26958.0,31951.0,24479.0,25910.0,17411.0,20392.0,192372.0
"Salinas city, California",Salinas city, California,2010,42989,268200.0,971.0,40933,2056,17741,23192,3.74,819.0,2629.0,5546.0,4802.0,11318.0,7343.0,5718.0,3211.0,1603.0,42989.0
