GEO_ID,NAME,COUNTY,STATE,TOT_HOUSEHOLD,POPULATION,TOT_ENROLLED,PRE_K,KINDER,ELEMENTARY,HIGH_SCHOOL,COLLEGE,COLLEGE_POP
0500000US34037,"Sussex County, New Jersey",Sussex County, New Jersey,58885.0,144209.0,29089.0,7.6,4.9,43.4,26.3,17.8,5177.842000000001
0500000US34039,"Union County, New Jersey",Union County, New Jersey,202575.0,564759.0,142111.0,7.7,6.3,40.9,22.0,23.1,32827.641
0500000US34041,"Warren County, New Jersey",Warren County, New Jersey,45507.0,108857.0,24009.0,5.8,4.1,42.7,19.1,28.3,6794.5470000000005
0500000US35001,"Bernalillo County, New Mexico",Bernalillo County, New Mexico,286424.0,662159.0,156276.0,4.5,4.7,39.7,22.2,28.9,45163.763999999996
0500000US35013,"Doña Ana County, New Mexico",Doña Ana County, New Mexico,85746.0,218243.0,68687.0,5.2,4.9,34.4,17.2,38.3,26307.120999999996
0500000US35025,"Lea County, New Mexico",Lea County, New Mexico,25580.0,70129.0,18444.0,0.6,7.7,50.5,27.3,13.9,2563.7160000000003
0500000US35031,"McKinley County, New Mexico",McKinley County, New Mexico,21296.0,68759.0,19571.0,6.5,5.3,50.4,23.0,14.8,2896.5080000000003
0500000US35035,"Otero County, New Mexico",Otero County, New Mexico,24963.0,64634.0,14708.0,2.4,4.2,45.7,19.3,28.4,4177.071999999999
0500000US35043,"Sandoval County, New Mexico",Sandoval County, New Mexico,57614.0,152667.0,36347.0,4.1,6.4,43.0,21.2,25.3,9195.791
0500000US35045,"San Juan County, New Mexico",San Juan County, New Mexico,41542.0,118911.0,30196.0,5.4,3.6,51.0,24.2,15.8,4770.968
0500000US35049,"Santa Fe County, New Mexico",Santa Fe County, New Mexico,72302.0,152908.0,28039.0,3.8,6.2,41.7,21.3,27.0,7570.530000000001
0500000US35061,"Valencia County, New Mexico",Valencia County, New Mexico,29080.0,76430.0,18409.0,7.0,1.5,45.7,26.7,19.1,3516.119
0500000US36001,"Albany County, New York",Albany County, New York,133811.0,297306.0,77873.0,4.5,3.5,32.0,17.3,42.6,33173.898
0500000US36005,"Bronx County, New York",Bronx County, New York,533035.0,1332238.0,367025.0,6.4,4.9,41.5,21.1,26.1,95793.52500000001
0500000US36007,"Broome County, New York",Broome County, New York,82108.0,184764.0,55430.0,6.0,3.5,31.5,13.6,45.3,25109.789999999997
0500000US36009,"Cattaraugus County, New York",Cattaraugus County, New York,32016.0,73610.0,16999.0,4.3,7.9,40.8,22.3,24.7,4198.753
0500000US36011,"Cayuga County, New York",Cayuga County, New York,32108.0,71539.0,14032.0,5.9,5.3,48.6,22.6,17.5,2455.6
0500000US36013,"Chautauqua County, New York",Chautauqua County, New York,54431.0,121213.0,26442.0,4.9,6.5,43.0,20.3,25.4,6716.268
0500000US36015,"Chemung County, New York",Chemung County, New York,34319.0,77976.0,17373.0,4.5,5.7,46.4,19.8,23.6,4100.028
0500000US36019,"Clinton County, New York",Clinton County, New York,33231.0,72506.0,16127.0,3.2,5.2,36.5,21.3,33.8,5450.9259999999995
0500000US36027,"Dutchess County, New York",Dutchess County, New York,117028.0,278500.0,70201.0,5.9,4.8,34.3,18.3,36.7,25763.767000000003
0500000US36029,"Erie County, New York",Erie County, New York,411422.0,922410.0,215798.0,5.1,5.9,38.5,19.9,30.6,66034.188
0500000US36045,"Jefferson County, New York",Jefferson County, New York,46815.0,111088.0,26069.0,5.4,6.5,45.6,18.8,23.8,6204.4220000000005
0500000US36047,"Kings County, New York",Kings County, New York,1026361.0,2546470.0,621525.0,8.2,5.6,41.1,20.1,25.0,155381.25
0500000US36053,"Madison County, New York",Madison County, New York,27515.0,61066.0,17334.0,4.8,3.9,32.1,16.9,42.3,7332.282
0500000US36055,"Monroe County, New York",Monroe County, New York,319346.0,724426.0,175953.0,5.9,5.4,36.8,20.4,31.5,55425.195
0500000US36059,"Nassau County, New York",Nassau County, New York,456149.0,1363737.0,338099.0,6.0,4.4,39.2,22.2,28.3,95682.017
0500000US36061,"New York County, New York",New York County, New York,803844.0,1522388.0,325897.0,5.6,3.8,30.5,15.2,44.9,146327.753
0500000US36063,"Niagara County, New York",Niagara County, New York,94001.0,206435.0,42945.0,7.0,5.0,44.1,20.2,23.7,10177.965
0500000US36065,"Oneida County, New York",Oneida County, New York,98267.0,215747.0,52357.0,5.5,4.3,45.1,20.7,24.4,12775.108
0500000US36067,"Onondaga County, New York",Onondaga County, New York,200340.0,444386.0,119158.0,5.9,2.7,38.1,18.8,34.6,41228.668000000005
0500000US36069,"Ontario County, New York",Ontario County, New York,48181.0,108164.0,24157.0,2.6,4.2,42.3,18.3,32.6,7875.182000000001
0500000US36071,"Orange County, New York",Orange County, New York,139757.0,392451.0,108469.0,6.2,5.5,40.9,24.9,22.5,24405.525
0500000US36075,"Oswego County, New York",Oswego County, New York,48142.0,113719.0,26992.0,3.1,4.6,39.1,22.7,30.5,8232.56
0500000US36079,"Putnam County, New York",Putnam County, New York,36104.0,95523.0,21797.0,5.4,3.9,37.6,27.3,25.9,5645.423
